TIME	STAGE1	STAGE2	STAGE3	STAGE4	STAGE5	STAGE6	STAGE7	STAGE8	Day
00:00-02:00	7	"7,10"	"7,10,5"	"7,10,5,9"	"7,10,5,9,21"	"7,10,5,9,21,23"	"7,10,5,9,21,23,15"	"7,10,5,9,21,23,15,4"	1
02:00-04:00	14	"14,1"	"14,1,16"	"14,1,16,3"	"14,1,16,3,18"	"14,1,16,3,18,22"	"14,1,16,3,18,22,13"	"14,1,16,3,18,22,13,2"	1
04:00-06:00	15	"15,4"	"15,4,8"	"15,4,8,12"	"15,4,8,12,17"	"15,4,8,12,17,24"	"15,4,8,12,17,24,7"	"15,4,8,12,17,24,7,10"	1
06:00-08:00	2	"2,13"	"2,13,23"	"2,13,23,11"	"2,13,23,11,6"	"2,13,23,11,6,3"	"2,13,23,11,6,3,16"	"2,13,23,11,6,3,16,18"	1
08:00-10:00	9	"9,5"	"9,5,19"	"9,5,19,1"	"9,5,19,1,14"	"9,5,19,1,14,4"	"9,5,19,1,14,4,15"	"9,5,19,1,14,4,15,20"	1
10:00-12:00	3	"3,16"	"3,16,17"	"3,16,17,10"	"3,16,17,10,7"	"3,16,17,10,7,2"	"3,16,17,10,7,2,13"	"3,16,17,10,7,2,13,22"	1
12:00-14:00	4	"4,15"	"4,15,21"	"4,15,21,12"	"4,15,21,12,8"	"4,15,21,12,8,9"	"4,15,21,12,8,9,5"	"4,15,21,12,8,9,5,24"	1
14:00-16:00	11	"11,6"	"11,6,18"	"11,6,18,2"	"11,6,18,2,13"	"11,6,18,2,13,10"	"11,6,18,2,13,10,7"	"11,6,18,2,13,10,7,23"	1
16:00-18:00	1	"1,14"	"1,14,20"	"1,14,20,9"	"1,14,20,9,5"	"1,14,20,9,5,12"	"1,14,20,9,5,12,8"	"1,14,20,9,5,12,8,19"	1
18:00-20:00	10	"10,7"	"10,7,22"	"10,7,22,3"	"10,7,22,3,16"	"10,7,22,3,16,11"	"10,7,22,3,16,11,6"	"10,7,22,3,16,11,6,17"	1
20:00-22:00	12	"12,8"	"12,8,24"	"12,8,24,4"	"12,8,24,4,15"	"12,8,24,4,15,1"	"12,8,24,4,15,1,14"	"12,8,24,4,15,1,14,21"	1
22:00-00:00	13	"13,2"	"13,2,6"	"13,2,6,11"	"13,2,6,11,19"	"13,2,6,11,19,20"	"13,2,6,11,19,20,7"	"13,2,6,11,19,20,7,10"	1
	
00:00-02:00	9	"9,5"	"9,5,1"	"9,5,1,14"	"9,5,1,14,23"	"9,5,1,14,23,17"	"9,5,1,14,23,17,3"	"9,5,1,14,23,17,3,16"	2
02:00-04:00	11	"11,6"	"11,6,4"	"11,6,4,15"	"11,6,4,15,18"	"11,6,4,15,18,21"	"11,6,4,15,18,21,12"	"11,6,4,15,18,21,12,8"	2
04:00-06:00	3	"3,16"	"3,16,10"	"3,16,10,7"	"3,16,10,7,22"	"3,16,10,7,22,19"	"3,16,10,7,22,19,2"	"3,16,10,7,22,19,2,13"	2
06:00-08:00	8	"8,12"	"8,12,24"	"8,12,24,14"	"8,12,24,14,1"	"8,12,24,14,1,6"	"8,12,24,14,1,6,11"	"8,12,24,14,1,6,11,20"	2
08:00-10:00	13	"13,2"	"13,2,23"	"13,2,23,5"	"13,2,23,5,9"	"13,2,23,5,9,16"	"13,2,23,5,9,16,3"	"13,2,23,5,9,16,3,19"	2
10:00-12:00	6	"6,11"	"6,11,18"	"6,11,18,15"	"6,11,18,15,4"	"6,11,18,15,4,8"	"6,11,18,15,4,8,12"	"6,11,18,15,4,8,12,21"	2
12:00-14:00	16	"16,3"	"16,3,17"	"16,3,17,7"	"16,3,17,7,10"	"16,3,17,7,10,13"	"16,3,17,7,10,13,2"	"16,3,17,7,10,13,2,22"	2
14:00-16:00	14	"14,1"	"14,1,20"	"14,1,20,8"	"14,1,20,8,12"	"14,1,20,8,12,15"	"14,1,20,8,12,15,4"	"14,1,20,8,12,15,4,24"	2
16:00-18:00	5	"5,9"	"5,9,19"	"5,9,19,13"	"5,9,19,13,2"	"5,9,19,13,2,7"	"5,9,19,13,2,7,10"	"5,9,19,13,2,7,10,23"	2
18:00-20:00	15	"15,4"	"15,4,21"	"15,4,21,6"	"15,4,21,6,11"	"15,4,21,6,11,14"	"15,4,21,6,11,14,1"	"15,4,21,6,11,14,1,18"	2
20:00-22:00	7	"7,10"	"7,10,22"	"7,10,22,16"	"7,10,22,16,3"	"7,10,22,16,3,5"	"7,10,22,16,3,5,9"	"7,10,22,16,3,5,9,17"	2
22:00-00:00	12	"12,8"	"12,8,2"	"12,8,2,13"	"12,8,2,13,20"	"12,8,2,13,20,24"	"12,8,2,13,20,24,4"	"12,8,2,13,20,24,4,15"	2
	
00:00-02:00	16	"16,3"	"16,3,7"	"16,3,7,10"	"16,3,7,10,23"	"16,3,7,10,23,17"	"16,3,7,10,23,17,8"	"16,3,7,10,23,17,8,12"	3
02:00-04:00	9	"9,5"	"9,5,13"	"9,5,13,2"	"9,5,13,2,22"	"9,5,13,2,22,19"	"9,5,13,2,22,19,6"	"9,5,13,2,22,19,6,11"	3
04:00-06:00	14	"14,1"	"14,1,8"	"14,1,8,12"	"14,1,8,12,24"	"14,1,8,12,24,20"	"14,1,8,12,24,20,15"	"14,1,8,12,24,20,15,4"	3
06:00-08:00	11	"11,6"	"11,6,18"	"11,6,18,2"	"11,6,18,2,13"	"11,6,18,2,13,10"	"11,6,18,2,13,10,7"	"11,6,18,2,13,10,7,23"	3
08:00-10:00	4	"4,15"	"4,15,21"	"4,15,21,3"	"4,15,21,3,16"	"4,15,21,3,16,12"	"4,15,21,3,16,12,8"	"4,15,21,3,16,12,8,17"	3
10:00-12:00	10	"10,7"	"10,7,22"	"10,7,22,9"	"10,7,22,9,5"	"10,7,22,9,5,11"	"10,7,22,9,5,11,6"	"10,7,22,9,5,11,6,19"	3
12:00-14:00	12	"12,8"	"12,8,24"	"12,8,24,1"	"12,8,24,1,14"	"12,8,24,1,14,4"	"12,8,24,1,14,4,15"	"12,8,24,1,14,4,15,20"	3
14:00-16:00	2	"2,13"	"2,13,23"	"2,13,23,11"	"2,13,23,11,6"	"2,13,23,11,6,9"	"2,13,23,11,6,9,5"	"2,13,23,11,6,9,5,18"	3
16:00-18:00	3	"3,16"	"3,16,17"	"3,16,17,4"	"3,16,17,4,15"	"3,16,17,4,15,1"	"3,16,17,4,15,1,14"	"3,16,17,4,15,1,14,21"	3
18:00-20:00	9	"9,5"	"9,5,19"	"9,5,19,10"	"9,5,19,10,7"	"9,5,19,10,7,2"	"9,5,19,10,7,2,13"	"9,5,19,10,7,2,13,22"	3
20:00-22:00	1	"1,14"	"1,14,20"	"1,14,20,12"	"1,14,20,12,8"	"1,14,20,12,8,3"	"1,14,20,12,8,3,16"	"1,14,20,12,8,3,16,24"	3
22:00-00:00	15	"15,4"	"15,4,6"	"15,4,6,11"	"15,4,6,11,21"	"15,4,6,11,21,18"	"15,4,6,11,21,18,5"	"15,4,6,11,21,18,5,9"	3
	
00:00-02:00	10	"10,7"	"10,7,3"	"10,7,3,16"	"10,7,3,16,24"	"10,7,3,16,24,22"	"10,7,3,16,24,22,2"	"10,7,3,16,24,22,2,13"	4
02:00-04:00	12	"12,8"	"12,8,1"	"12,8,1,14"	"12,8,1,14,17"	"12,8,1,14,17,20"	"12,8,1,14,17,20,9"	"12,8,1,14,17,20,9,5"	4
04:00-06:00	2	"2,13"	"2,13,11"	"2,13,11,6"	"2,13,11,6,23"	"2,13,11,6,23,18"	"2,13,11,6,23,18,3"	"2,13,11,6,23,18,3,16"	4
06:00-08:00	5	"5,9"	"5,9,19"	"5,9,19,8"	"5,9,19,8,12"	"5,9,19,8,12,15"	"5,9,19,8,12,15,4"	"5,9,19,8,12,15,4,24"	4
08:00-10:00	16	"16,3"	"16,3,17"	"16,3,17,7"	"16,3,17,7,10"	"16,3,17,7,10,13"	"16,3,17,7,10,13,2"	"16,3,17,7,10,13,2,22"	4
10:00-12:00	15	"15,4"	"15,4,21"	"15,4,21,14"	"15,4,21,14,1"	"15,4,21,14,1,5"	"15,4,21,14,1,5,9"	"15,4,21,14,1,5,9,20"	4
12:00-14:00	13	"13,2"	"13,2,23"	"13,2,23,6"	"13,2,23,6,11"	"13,2,23,6,11,16"	"13,2,23,6,11,16,3"	"13,2,23,6,11,16,3,18"	4
14:00-16:00	8	"8,12"	"8,12,24"	"8,12,24,5"	"8,12,24,5,9"	"8,12,24,5,9,14"	"8,12,24,5,9,14,1"	"8,12,24,5,9,14,1,19"	4
16:00-18:00	7	"7,10"	"7,10,22"	"7,10,22,16"	"7,10,22,16,3"	"7,10,22,16,3,6"	"7,10,22,16,3,6,11"	"7,10,22,16,3,6,11,17"	4
18:00-20:00	14	"14,1"	"14,1,20"	"14,1,20,15"	"14,1,20,15,4"	"14,1,20,15,4,8"	"14,1,20,15,4,8,12"	"14,1,20,15,4,8,12,21"	4
20:00-22:00	6	"6,11"	"6,11,18"	"6,11,18,13"	"6,11,18,13,2"	"6,11,18,13,2,7"	"6,11,18,13,2,7,10"	"6,11,18,13,2,7,10,23"	4
22:00-00:00	4	"4,15"	"4,15,9"	"4,15,9,5"	"4,15,9,5,21"	"4,15,9,5,21,19"	"4,15,9,5,21,19,1"	"4,15,9,5,21,19,1,14"	4
	
00:00-02:00	8	"8,12"	"8,12,11"	"8,12,11,6"	"8,12,11,6,20"	"8,12,11,6,20,22"	"8,12,11,6,20,22,5"	"8,12,11,6,20,22,5,9"	5
02:00-04:00	13	"13,2"	"13,2,7"	"13,2,7,10"	"13,2,7,10,24"	"13,2,7,10,24,23"	"13,2,7,10,24,23,16"	"13,2,7,10,24,23,16,3"	5
04:00-06:00	5	"5,9"	"5,9,15"	"5,9,15,4"	"5,9,15,4,19"	"5,9,15,4,19,21"	"5,9,15,4,19,21,14"	"5,9,15,4,19,21,14,10"	5
06:00-08:00	3	"3,16"	"3,16,17"	"3,16,17,10"	"3,16,17,10,7"	"3,16,17,10,7,12"	"3,16,17,10,7,12,8"	"3,16,17,10,7,12,8,22"	5
08:00-10:00	1	"1,14"	"1,14,20"	"1,14,20,11"	"1,14,20,11,6"	"1,14,20,11,6,9"	"1,14,20,11,6,9,5"	"1,14,20,11,6,9,5,18"	5
10:00-12:00	12	"12,8"	"12,8,24"	"12,8,24,2"	"12,8,24,2,13"	"12,8,24,2,13,3"	"12,8,24,2,13,3,16"	"12,8,24,2,13,3,16,23"	5
12:00-14:00	9	"9,5"	"9,5,19"	"9,5,19,4"	"9,5,19,4,15"	"9,5,19,4,15,1"	"9,5,19,4,15,1,14"	"9,5,19,4,15,1,14,21"	5
14:00-16:00	10	"10,7"	"10,7,22"	"10,7,22,3"	"10,7,22,3,16"	"10,7,22,3,16,2"	"10,7,22,3,16,2,13"	"10,7,22,3,16,2,13,17"	5
16:00-18:00	11	"11,6"	"11,6,18"	"11,6,18,1"	"11,6,18,1,14"	"11,6,18,1,14,4"	"11,6,18,1,14,4,15"	"11,6,18,1,14,4,15,20"	5
18:00-20:00	2	"2,13"	"2,13,23"	"2,13,23,12"	"2,13,23,12,8"	"2,13,23,12,8,10"	"2,13,23,12,8,10,7"	"2,13,23,12,8,10,7,24"	5
20:00-22:00	4	"4,15"	"4,15,21"	"4,15,21,9"	"4,15,21,9,5"	"4,15,21,9,5,11"	"4,15,21,9,5,11,6"	"4,15,21,9,5,11,6,19"	5
22:00-00:00	16	"16,3"	"16,3,14"	"16,3,14,1"	"16,3,14,1,18"	"16,3,14,1,18,17"	"16,3,14,1,18,17,13"	"16,3,14,1,18,17,13,2"	5
	
00:00-02:00	10	"10,7"	"10,7,2"	"10,7,2,13"	"10,7,2,13,22"	"10,7,2,13,22,23"	"10,7,2,13,22,23,11"	"10,7,2,13,22,23,11,6"	6
02:00-04:00	5	"5,9"	"5,9,12"	"5,9,12,8"	"5,9,12,8,19"	"5,9,12,8,19,24"	"5,9,12,8,19,24,4"	"5,9,12,8,19,24,4,15"	6
04:00-06:00	11	"11,6"	"11,6,3"	"11,6,3,16"	"11,6,3,16,17"	"11,6,3,16,17,18"	"11,6,3,16,17,18,10"	"11,6,3,16,17,18,10,7"	6
06:00-08:00	15	"15,4"	"15,4,21"	"15,4,21,5"	"15,4,21,5,9"	"15,4,21,5,9,14"	"15,4,21,5,9,14,1"	"15,4,21,5,9,14,1,19"	6
08:00-10:00	7	"7,10"	"7,10,22"	"7,10,22,13"	"7,10,22,13,2"	"7,10,22,13,2,6"	"7,10,22,13,2,6,11"	"7,10,22,13,2,6,11,23"	6
10:00-12:00	14	"14,1"	"14,1,20"	"14,1,20,8"	"14,1,20,8,12"	"14,1,20,8,12,15"	"14,1,20,8,12,15,4"	"14,1,20,8,12,15,4,24"	6
12:00-14:00	6	"6,11"	"6,11,18"	"6,11,18,16"	"6,11,18,16,3"	"6,11,18,16,3,7"	"6,11,18,16,3,7,10"	"6,11,18,16,3,7,10,17"	6
14:00-16:00	5	"5,9"	"5,9,19"	"5,9,19,15"	"5,9,19,15,4"	"5,9,19,15,4,8"	"5,9,19,15,4,8,12"	"5,9,19,15,4,8,12,21"	6
16:00-18:00	13	"13,2"	"13,2,23"	"13,2,23,7"	"13,2,23,7,10"	"13,2,23,7,10,16"	"13,2,23,7,10,16,3"	"13,2,23,7,10,16,3,22"	6
18:00-20:00	8	"8,12"	"8,12,24"	"8,12,24,14"	"8,12,24,14,1"	"8,12,24,14,1,5"	"8,12,24,14,1,5,9"	"8,12,24,14,1,5,9,20"	6
20:00-22:00	16	"16,3"	"16,3,17"	"16,3,17,6"	"16,3,17,6,11"	"16,3,17,6,11,13"	"16,3,17,6,11,13,2"	"16,3,17,6,11,13,2,18"	6
22:00-00:00	1	"1,14"	"1,14,4"	"1,14,4,15"	"1,14,4,15,20"	"1,14,4,15,20,21"	"1,14,4,15,20,21,12"	"1,14,4,15,20,21,12,8"	6
	
00:00-02:00	6	"6,11"	"6,11,16"	"6,11,16,3"	"6,11,16,3,18"	"6,11,16,3,18,24"	"6,11,16,3,18,24,10"	"6,11,16,3,18,24,10,7"	0
02:00-04:00	13	"13,2"	"13,2,15"	"13,2,15,4"	"13,2,15,4,19"	"13,2,15,4,19,23"	"13,2,15,4,19,23,14"	"13,2,15,4,19,23,14,1"	0
04:00-06:00	10	"10,7"	"10,7,5"	"10,7,5,9"	"10,7,9,5,21"	"10,7,9,5,21,22"	"10,7,9,5,21,22,6"	"10,7,9,5,21,22,6,11"	0
06:00-08:00	1	"1,14"	"1,14,20"	"1,14,20,3"	"1,14,20,3,16"	"1,14,20,3,16,2"	"1,14,20,3,16,2,13"	"1,14,20,3,16,2,13,17"	0
08:00-10:00	8	"8,12"	"8,12,24"	"8,12,24,4"	"8,12,24,4,15"	"8,12,24,4,15,7"	"8,12,24,4,15,7,10"	"8,12,24,4,15,7,10,21"	0
10:00-12:00	2	"2,13"	"2,13,23"	"2,13,23,6"	"2,13,23,6,11"	"2,13,23,6,11,1"	"2,13,23,6,11,1,14"	"2,13,23,6,11,1,14,18"	0
12:00-14:00	7	"7,10"	"7,10,22"	"7,10,22,5"	"7,10,22,5,9"	"7,10,22,5,9,8"	"7,10,22,5,9,8,12"	"7,10,22,5,9,8,12,19"	0
14:00-16:00	3	"3,16"	"3,16,17"	"3,16,17,1"	"3,16,17,1,14"	"3,16,17,1,14,6"	"3,16,17,1,14,6,11"	"3,16,17,1,14,6,11,20"	0
16:00-18:00	4	"4,15"	"4,15,21"	"4,15,21,8"	"4,15,21,8,12"	"4,15,21,8,12,5"	"4,15,21,8,12,5,9"	"4,15,21,8,12,5,9,24"	0
18:00-20:00	6	"6,11"	"6,11,18"	"6,11,18,2"	"6,11,18,2,13"	"6,11,18,2,13,3"	"6,11,18,2,13,3,16"	"6,11,18,2,13,3,16,23"	0
20:00-22:00	5	"5,9"	"5,9,19"	"5,9,19,7"	"5,9,19,7,10"	"5,9,19,7,10,4"	"5,9,19,7,10,4,15"	"5,9,19,7,10,4,15,22"	0
22:00-00:00	8	"8,12"	"8,12,14"	"8,12,14,1"	"8,12,14,1,20"	"8,12,14,1,20,17"	"8,12,14,1,20,17,11"	"8,12,14,1,20,17,11,6"	0
